qsize 7, out_qsize 0
2016-06-15 15:38:48,916: INFO: PROGRESS: at 88.02% examples, 258261 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:49,929: INFO: PROGRESS: at 88.06% examples, 258261 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:50,964: INFO: PROGRESS: at 88.11% examples, 258267 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:38:51,953: INFO: PROGRESS: at 88.16% examples, 258266 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:52,967: INFO: PROGRESS: at 88.21% examples, 258270 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:53,972: INFO: PROGRESS: at 88.25% examples, 258266 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:54,997: INFO: PROGRESS: at 88.30% examples, 258269 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:56,041: INFO: PROGRESS: at 88.35% examples, 258270 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:57,046: INFO: PROGRESS: at 88.40% examples, 258271 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:58,129: INFO: PROGRESS: at 88.44% examples, 258269 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:38:59,153: INFO: PROGRESS: at 88.48% examples, 258270 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:00,181: INFO: PROGRESS: at 88.54% examples, 258271 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:01,206: INFO: PROGRESS: at 88.61% examples, 258275 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:02,270: INFO: PROGRESS: at 88.65% examples, 258274 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:03,281: INFO: PROGRESS: at 88.70% examples, 258276 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:04,310: INFO: PROGRESS: at 88.75% examples, 258280 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:05,336: INFO: PROGRESS: at 88.81% examples, 258282 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:06,339: INFO: PROGRESS: at 88.86% examples, 258288 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:07,348: INFO: PROGRESS: at 88.90% examples, 258288 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:08,369: INFO: PROGRESS: at 88.95% examples, 258289 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:09,437: INFO: PROGRESS: at 88.99% examples, 258287 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:10,462: INFO: PROGRESS: at 89.03% examples, 258291 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:11,481: INFO: PROGRESS: at 89.08% examples, 258293 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:12,506: INFO: PROGRESS: at 89.12% examples, 258299 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:13,520: INFO: PROGRESS: at 89.16% examples, 258297 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:14,572: INFO: PROGRESS: at 89.20% examples, 258298 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:15,580: INFO: PROGRESS: at 89.24% examples, 258302 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:16,586: INFO: PROGRESS: at 89.28% examples, 258302 words/s, in_qsize 8, out_qsize 0
